Segment,Country,Product,Discount Band, Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales ,COGS,Profit,Date,Month Number,Month Name,Year
Channel Partners,United States of America,Paseo,Low," $1,369.50 ", $10.00 , $12.00 ," $16,434.00 ", $493.02 ," $15,940.98 ",4108.5,11832.48,7/1/2014,7,July,2014
Enterprise,Canada,Paseo,Low," $2,009.00 ", $10.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 ",241080,2511.25,10/1/2014,10,October,2014
Midmarket,Germany,Paseo,Low," $1,945.00 ", $10.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 ",19450,8849.75,10/1/2013,10,October,2013
Enterprise,France,Paseo,Low," $1,287.00 ", $10.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 ",154440,1608.75,12/1/2014,12,December,2014
Enterprise,Germany,Paseo,Low," $1,706.00 ", $10.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 ",204720,2132.5,12/1/2014,12,December,2014
Enterprise,Canada,Velo,Low," $2,009.00 ", $120.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 ",241080,2511.25,10/1/2014,10,October,2014
Small Business,United States of America,VTT,Low," $2,844.00 ", $250.00 , $300.00 ," $853,200.00 "," $25,596.00 "," $827,604.00 ",711000,116604,2/1/2014,2,February,2014
Channel Partners,Mexico,VTT,Low," $1,916.00 ", $250.00 , $12.00 ," $22,992.00 ", $689.76 ," $22,302.24 ",5748,16554.24,4/1/2014,4,April,2014
Enterprise,Germany,VTT,Low," $1,570.00 ", $250.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 ",188400,1962.5,6/1/2014,6,June,2014
Small Business,Canada,VTT,Low," $1,874.00 ", $250.00 , $300.00 ," $562,200.00 "," $16,866.00 "," $545,334.00 ",468500,76834,8/1/2014,8,August,2014
Government,Mexico,VTT,Low," $1,642.00 ", $250.00 , $350.00 ," $574,700.00 "," $17,241.00 "," $557,459.00 ",426920,130539,8/1/2014,8,August,2014
Midmarket,Germany,VTT,Low," $1,945.00 ", $250.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 ",19450,8849.75,10/1/2013,10,October,2013
Government,Canada,Carretera,Low, $831.00 , $3.00 , $20.00 ," $16,620.00 ", $498.60 ," $16,121.40 ",8310,7811.4,5/1/2014,5,May,2014
Government,Mexico,Paseo,Low," $1,760.00 ", $10.00 , $7.00 ," $12,320.00 ", $369.60 ," $11,950.40 ",8800,3150.4,9/1/2013,9,September,2013
Government,Canada,Velo,Low," $3,850.50 ", $120.00 , $20.00 ," $77,010.00 "," $2,310.30 "," $74,699.70 ",38505,36194.7,4/1/2014,4,April,2014
Channel Partners,Germany,VTT,Low," $2,479.00 ", $250.00 , $12.00 ," $29,748.00 ", $892.44 ," $28,855.56 ",7437,21418.56,1/1/2014,1,January,2014
Midmarket,Mexico,Montana,Low," $2,031.00 ", $5.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 ",20310,8936.4,10/1/2014,10,October,2014
Midmarket,Mexico,Paseo,Low," $2,031.00 ", $10.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 ",20310,8936.4,10/1/2014,10,October,2014
Midmarket,France,Paseo,Low," $2,261.00 ", $10.00 , $15.00 ," $33,915.00 "," $1,356.60 "," $32,558.40 ",22610,9948.4,12/1/2013,12,December,2013
Government,United States of America,Velo,Low, $736.00 , $120.00 , $20.00 ," $14,720.00 ", $588.80 ," $14,131.20 ",7360,6771.2,9/1/2013,9,September,2013
Government,Canada,Carretera,Low," $2,851.00 ", $3.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 ",14255,4903.72,10/1/2013,10,October,2013
Small Business,Germany,Carretera,Low," $2,021.00 ", $3.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 ",505250,76798,10/1/2014,10,October,2014
Government,United States of America,Carretera,Low, $274.00 , $3.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 ",71240,20824,12/1/2014,12,December,2014
Midmarket,Canada,Montana,Low," $1,967.00 ", $5.00 , $15.00 ," $29,505.00 "," $1,180.20 "," $28,324.80 ",19670,8654.8,3/1/2014,3,March,2014
Small Business,Germany,Montana,Low," $1,859.00 ", $5.00 , $300.00 ," $557,700.00 "," $22,308.00 "," $535,392.00 ",464750,70642,8/1/2014,8,August,2014
Government,Canada,Montana,Low," $2,851.00 ", $5.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 ",14255,4903.72,10/1/2013,10,October,2013
Small Business,Germany,Montana,Low," $2,021.00 ", $5.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 ",505250,76798,10/1/2014,10,October,2014
Enterprise,Mexico,Montana,Low," $1,138.00 ", $5.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 ",136560,0,12/1/2014,12,December,2014
Government,Canada,Paseo,Low," $4,251.00 ", $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 ",21255,7311.72,1/1/2014,1,January,2014
Enterprise,Germany,Paseo,Low, $795.00 , $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 ",95400,0,3/1/2014,3,March,2014
Small Business,Germany,Paseo,Low," $1,414.50 ", $10.00 , $300.00 ," $424,350.00 "," $16,974.00 "," $407,376.00 ",353625,53751,4/1/2014,4,April,2014
Small Business,United States of America,Paseo,Low," $2,918.00 ", $10.00 , $300.00 ," $875,400.00 "," $35,016.00 "," $840,384.00 ",729500,110884,5/1/2014,5,May,2014
Government,United States of America,Paseo,Low," $3,450.00 ", $10.00 , $350.00 ," $1,207,500.00 "," $48,300.00 "," $1,159,200.00 ",897000,262200,7/1/2014,7,July,2014
Enterprise,France,Paseo,Low," $2,988.00 ", $10.00 , $125.00 ," $373,500.00 "," $14,940.00 "," $358,560.00 ",358560,0,7/1/2014,7,July,2014
Midmarket,Canada,Paseo,Low, $218.00 , $10.00 , $15.00 ," $3,270.00 ", $130.80 ," $3,139.20 ",2180,959.2,9/1/2014,9,September,2014
Government,Canada,Paseo,Low," $2,074.00 ", $10.00 , $20.00 ," $41,480.00 "," $1,659.20 "," $39,820.80 ",20740,19080.8,9/1/2014,9,September,2014
Government,United States of America,Paseo,Low," $1,056.00 ", $10.00 , $20.00 ," $21,120.00 ", $844.80 ," $20,275.20 ",10560,9715.2,9/1/2014,9,September,2014
Midmarket,United States of America,Paseo,Low, $671.00 , $10.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 ",6710,2952.4,10/1/2013,10,October,2013
Midmarket,Mexico,Paseo,Low," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 ",15140,6661.6,10/1/2013,10,October,2013
Government,United States of America,Paseo,Low, $274.00 , $10.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 ",71240,20824,12/1/2014,12,December,2014
Enterprise,Mexico,Paseo,Low," $1,138.00 ", $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 ",136560,0,12/1/2014,12,December,2014
Channel Partners,United States of America,Velo,Low," $1,465.00 ", $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 ",4395,12481.8,3/1/2014,3,March,2014
Government,Canada,Velo,Low," $2,646.00 ", $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 ",26460,24343.2,9/1/2013,9,September,2013
Government,France,Velo,Low," $2,177.00 ", $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 ",566020,165452,10/1/2014,10,October,2014
Channel Partners,France,VTT,Low, $866.00 , $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 ",2598,7378.32,5/1/2014,5,May,2014
Government,United States of America,VTT,Low, $349.00 , $250.00 , $350.00 ," $122,150.00 "," $4,886.00 "," $117,264.00 ",90740,26524,9/1/2013,9,September,2013
Government,France,VTT,Low," $2,177.00 ", $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 ",566020,165452,10/1/2014,10,October,2014
Midmarket,Mexico,VTT,Low," $1,514.00 ", $250.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 ",15140,6661.6,10/1/2013,10,October,2013
Government,Mexico,Amarilla,Low," $1,865.00 ", $260.00 , $350.00 ," $652,750.00 "," $26,110.00 "," $626,640.00 ",484900,141740,2/1/2014,2,February,2014
Enterprise,Mexico,Amarilla,Low," $1,074.00 ", $260.00 , $125.00 ," $134,250.00 "," $5,370.00 "," $128,880.00 ",128880,0,4/1/2014,4,April,2014
Government,Germany,Amarilla,Low," $1,907.00 ", $260.00 , $350.00 ," $667,450.00 "," $26,698.00 "," $640,752.00 ",495820,144932,9/1/2014,9,September,2014
Midmarket,United States of America,Amarilla,Low, $671.00 , $260.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 ",6710,2952.4,10/1/2013,10,October,2013
Government,Canada,Amarilla,Low," $1,778.00 ", $260.00 , $350.00 ," $622,300.00 "," $24,892.00 "," $597,408.00 ",462280,135128,12/1/2013,12,December,2013
Government,Germany,Montana,Medium," $1,159.00 ", $5.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 ",5795,1912.35,10/1/2013,10,October,2013
Government,Germany,Paseo,Medium," $1,372.00 ", $10.00 , $7.00 ," $9,604.00 ", $480.20 ," $9,123.80 ",6860,2263.8,1/1/2014,1,January,2014
Government,Canada,Paseo,Medium," $2,349.00 ", $10.00 , $7.00 ," $16,443.00 ", $822.15 ," $15,620.85 ",11745,3875.85,9/1/2013,9,September,2013
Government,Mexico,Paseo,Medium," $2,689.00 ", $10.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 ",13445,4436.85,10/1/2014,10,October,2014
Channel Partners,Canada,Paseo,Medium," $2,431.00 ", $10.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 ",7293,20420.4,12/1/2014,12,December,2014
Channel Partners,Canada,Velo,Medium," $2,431.00 ", $120.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 ",7293,20420.4,12/1/2014,12,December,2014
Government,Mexico,VTT,Medium," $2,689.00 ", $250.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 ",13445,4436.85,10/1/2014,10,October,2014
Government,Mexico,Amarilla,Medium," $1,683.00 ", $260.00 , $7.00 ," $11,781.00 ", $589.05 ," $11,191.95 ",8415,2776.95,7/1/2014,7,July,2014
Channel Partners,Mexico,Amarilla,Medium," $1,123.00 ", $260.00 , $12.00 ," $13,476.00 ", $673.80 ," $12,802.20 ",3369,9433.2,8/1/2014,8,August,2014
Government,Germany,Amarilla,Medium," $1,159.00 ", $260.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 ",5795,1912.35,10/1/2013,10,October,2013
Channel Partners,France,Carretera,Medium," $1,865.00 ", $3.00 , $12.00 ," $22,380.00 "," $1,119.00 "," $21,261.00 ",5595,15666,2/1/2014,2,February,2014
Channel Partners,Germany,Carretera,Medium," $1,116.00 ", $3.00 , $12.00 ," $13,392.00 ", $669.60 ," $12,722.40 ",3348,9374.4,2/1/2014,2,February,2014
Government,France,Carretera,Medium," $1,563.00 ", $3.00 , $20.00 ," $31,260.00 "," $1,563.00 "," $29,697.00 ",15630,14067,5/1/2014,5,May,2014
Small Business,United States of America,Carretera,Medium, $991.00 , $3.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 ",247750,34685,6/1/2014,6,June,2014
Government,Germany,Carretera,Medium," $1,016.00 ", $3.00 , $7.00 ," $7,112.00 ", $355.60 ," $6,756.40 ",5080,1676.4,11/1/2013,11,November,2013
Midmarket,Mexico,Carretera,Medium," $2,791.00 ", $3.00 , $15.00 ," $41,865.00 "," $2,093.25 "," $39,771.75 ",27910,11861.75,11/1/2014,11,November,2014
Government,United States of America,Carretera,Medium, $570.00 , $3.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 ",2850,940.5,12/1/2014,12,December,2014
Government,France,Carretera,Medium," $2,487.00 ", $3.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 ",12435,4103.55,12/1/2014,12,December,2014
Government,France,Montana,Medium," $1,384.50 ", $5.00 , $350.00 ," $484,575.00 "," $24,228.75 "," $460,346.25 ",359970,100376.25,1/1/2014,1,January,2014
Enterprise,United States of America,Montana,Medium," $3,627.00 ", $5.00 , $125.00 ," $453,375.00 "," $22,668.75 "," $430,706.25 ",435240,-4533.75,7/1/2014,7,July,2014
Government,Mexico,Montana,Medium, $720.00 , $5.00 , $350.00 ," $252,000.00 "," $12,600.00 "," $239,400.00 ",187200,52200,9/1/2013,9,September,2013
Channel Partners,Germany,Montana,Medium," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $1,405.20 "," $26,698.80 ",7026,19672.8,11/1/2014,11,November,2014
Small Business,Mexico,Montana,Medium," $1,100.00 ", $5.00 , $300.00 ," $330,000.00 "," $16,500.00 "," $313,500.00 ",275000,38500,12/1/2013,12,December,2013
Government,France,Paseo,Medium," $1,303.00 ", $10.00 , $20.00 ," $26,060.00 "," $1,303.00 "," $24,757.00 ",13030,11727,2/1/2014,2,February,2014
Enterprise,United States of America,Paseo,Medium," $2,992.00 ", $10.00 , $125.00 ," $374,000.00 "," $18,700.00 "," $355,300.00 ",359040,-3740,3/1/2014,3,March,2014
Enterprise,France,Paseo,Medium," $2,385.00 ", $10.00 , $125.00 ," $298,125.00 "," $14,906.25 "," $283,218.75 ",286200,-2981.25,3/1/2014,3,March,2014
Small Business,Mexico,Paseo,Medium," $1,607.00 ", $10.00 , $300.00 ," $482,100.00 "," $24,105.00 "," $457,995.00 ",401750,56245,4/1/2014,4,April,2014
Government,United States of America,Paseo,Medium," $2,327.00 ", $10.00 , $7.00 ," $16,289.00 ", $814.45 ," $15,474.55 ",11635,3839.55,5/1/2014,5,May,2014
Small Business,United States of America,Paseo,Medium, $991.00 , $10.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 ",247750,34685,6/1/2014,6,June,2014
Government,United States of America,Paseo,Medium, $602.00 , $10.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 ",156520,43645,6/1/2014,6,June,2014
Midmarket,France,Paseo,Medium," $2,620.00 ", $10.00 , $15.00 ," $39,300.00 "," $1,965.00 "," $37,335.00 ",26200,11135,9/1/2014,9,September,2014
Government,Canada,Paseo,Medium," $1,228.00 ", $10.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 ",319280,89030,10/1/2013,10,October,2013
Government,Canada,Paseo,Medium," $1,389.00 ", $10.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 ",13890,12501,10/1/2013,10,October,2013
Enterprise,United States of America,Paseo,Medium, $861.00 , $10.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 ",103320,-1076.25,10/1/2014,10,October,2014
Enterprise,France,Paseo,Medium, $704.00 , $10.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 ",84480,-880,10/1/2013,10,October,2013
Government,Canada,Paseo,Medium," $1,802.00 ", $10.00 , $20.00 ," $36,040.00 "," $1,802.00 "," $34,238.00 ",18020,16218,12/1/2013,12,December,2013
Government,United States of America,Paseo,Medium," $2,663.00 ", $10.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 ",26630,23967,12/1/2014,12,December,2014
Government,France,Paseo,Medium," $2,136.00 ", $10.00 , $7.00 ," $14,952.00 ", $747.60 ," $14,204.40 ",10680,3524.4,12/1/2013,12,December,2013
Midmarket,Germany,Paseo,Medium," $2,116.00 ", $10.00 , $15.00 ," $31,740.00 "," $1,587.00 "," $30,153.00 ",21160,8993,12/1/2013,12,December,2013
Midmarket,United States of America,Velo,Medium, $555.00 , $120.00 , $15.00 ," $8,325.00 ", $416.25 ," $7,908.75 ",5550,2358.75,1/1/2014,1,January,2014
Midmarket,Mexico,Velo,Medium," $2,861.00 ", $120.00 , $15.00 ," $42,915.00 "," $2,145.75 "," $40,769.25 ",28610,12159.25,1/1/2014,1,January,2014
Enterprise,Germany,Velo,Medium, $807.00 , $120.00 , $125.00 ," $100,875.00 "," $5,043.75 "," $95,831.25 ",96840,-1008.75,2/1/2014,2,February,2014
Government,United States of America,Velo,Medium, $602.00 , $120.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 ",156520,43645,6/1/2014,6,June,2014
Government,United States of America,Velo,Medium," $2,832.00 ", $120.00 , $20.00 ," $56,640.00 "," $2,832.00 "," $53,808.00 ",28320,25488,8/1/2014,8,August,2014
Government,France,Velo,Medium," $1,579.00 ", $120.00 , $20.00 ," $31,580.00 "," $1,579.00 "," $30,001.00 ",15790,14211,8/1/2014,8,August,2014
Enterprise,United States of America,Velo,Medium, $861.00 , $120.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 ",103320,-1076.25,10/1/2014,10,October,2014
Enterprise,France,Velo,Medium, $704.00 , $120.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 ",84480,-880,10/1/2013,10,October,2013
Government,France,Velo,Medium," $1,033.00 ", $120.00 , $20.00 ," $20,660.00 "," $1,033.00 "," $19,627.00 ",10330,9297,12/1/2013,12,December,2013
Small Business,Germany,Velo,Medium," $1,250.00 ", $120.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 ",312500,43750,12/1/2014,12,December,2014
Government,Canada,VTT,Medium," $1,389.00 ", $250.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 ",13890,12501,10/1/2013,10,October,2013
Government,United States of America,VTT,Medium," $1,265.00 ", $250.00 , $20.00 ," $25,300.00 "," $1,265.00 "," $24,035.00 ",12650,11385,11/1/2013,11,November,2013
Government,Germany,VTT,Medium," $2,297.00 ", $250.00 , $20.00 ," $45,940.00 "," $2,297.00 "," $43,643.00 ",22970,20673,11/1/2013,11,November,2013
Government,United States of America,VTT,Medium," $2,663.00 ", $250.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 ",26630,23967,12/1/2014,12,December,2014
Government,United States of America,VTT,Medium, $570.00 , $250.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 ",2850,940.5,12/1/2014,12,December,2014
Government,France,VTT,Medium," $2,487.00 ", $250.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 ",12435,4103.55,12/1/2014,12,December,2014
Government,Germany,Amarilla,Medium," $1,350.00 ", $260.00 , $350.00 ," $472,500.00 "," $23,625.00 "," $448,875.00 ",351000,97875,2/1/2014,2,February,2014
Government,Canada,Amarilla,Medium, $552.00 , $260.00 , $350.00 ," $193,200.00 "," $9,660.00 "," $183,540.00 ",143520,40020,8/1/2014,8,August,2014
Government,Canada,Amarilla,Medium," $1,228.00 ", $260.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 ",319280,89030,10/1/2013,10,October,2013
Small Business,Germany,Amarilla,Medium," $1,250.00 ", $260.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 ",312500,43750,12/1/2014,12,December,2014
Midmarket,France,Paseo,Medium," $3,801.00 ", $10.00 , $15.00 ," $57,015.00 "," $3,420.90 "," $53,594.10 ",38010,15584.1,4/1/2014,4,April,2014
Government,United States of America,Carretera,Medium," $1,117.50 ", $3.00 , $20.00 ," $22,350.00 "," $1,341.00 "," $21,009.00 ",11175,9834,1/1/2014,1,January,2014
Midmarket,Canada,Carretera,Medium," $2,844.00 ", $3.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 ",28440,11660.4,6/1/2014,6,June,2014
Channel Partners,Mexico,Carretera,Medium, $562.00 , $3.00 , $12.00 ," $6,744.00 ", $404.64 ," $6,339.36 ",1686,4653.36,9/1/2014,9,September,2014
Channel Partners,Canada,Carretera,Medium," $2,299.00 ", $3.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 ",6897,19035.72,10/1/2013,10,October,2013
Midmarket,United States of America,Carretera,Medium," $2,030.00 ", $3.00 , $15.00 ," $30,450.00 "," $1,827.00 "," $28,623.00 ",20300,8323,11/1/2014,11,November,2014
Government,United States of America,Carretera,Medium, $263.00 , $3.00 , $7.00 ," $1,841.00 ", $110.46 ," $1,730.54 ",1315,415.54,11/1/2013,11,November,2013
Enterprise,Germany,Carretera,Medium, $887.00 , $3.00 , $125.00 ," $110,875.00 "," $6,652.50 "," $104,222.50 ",106440,-2217.5,12/1/2013,12,December,2013
Government,Mexico,Montana,Medium, $980.00 , $5.00 , $350.00 ," $343,000.00 "," $20,580.00 "," $322,420.00 ",254800,67620,4/1/2014,4,April,2014
Government,Germany,Montana,Medium," $1,460.00 ", $5.00 , $350.00 ," $511,000.00 "," $30,660.00 "," $480,340.00 ",379600,100740,5/1/2014,5,May,2014
Government,France,Montana,Medium," $1,403.00 ", $5.00 , $7.00 ," $9,821.00 ", $589.26 ," $9,231.74 ",7015,2216.74,10/1/2013,10,October,2013
Channel Partners,United States of America,Montana,Medium," $2,723.00 ", $5.00 , $12.00 ," $32,676.00 "," $1,960.56 "," $30,715.44 ",8169,22546.44,11/1/2014,11,November,2014
Government,France,Paseo,Medium," $1,496.00 ", $10.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 ",388960,103224,6/1/2014,6,June,2014
Channel Partners,Canada,Paseo,Medium," $2,299.00 ", $10.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 ",6897,19035.72,10/1/2013,10,October,2013
Government,United States of America,Paseo,Medium, $727.00 , $10.00 , $350.00 ," $254,450.00 "," $15,267.00 "," $239,183.00 ",189020,50163,10/1/2013,10,October,2013
Enterprise,Canada,Velo,Medium, $952.00 , $120.00 , $125.00 ," $119,000.00 "," $7,140.00 "," $111,860.00 ",114240,-2380,2/1/2014,2,February,2014
Enterprise,United States of America,Velo,Medium," $2,755.00 ", $120.00 , $125.00 ," $344,375.00 "," $20,662.50 "," $323,712.50 ",330600,-6887.5,2/1/2014,2,February,2014
Midmarket,Germany,Velo,Medium," $1,530.00 ", $120.00 , $15.00 ," $22,950.00 "," $1,377.00 "," $21,573.00 ",15300,6273,5/1/2014,5,May,2014
Government,France,Velo,Medium," $1,496.00 ", $120.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 ",388960,103224,6/1/2014,6,June,2014
Government,Mexico,Velo,Medium," $1,498.00 ", $120.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 ",7490,2366.84,6/1/2014,6,June,2014
Small Business,France,Velo,Medium," $1,221.00 ", $120.00 , $300.00 ," $366,300.00 "," $21,978.00 "," $344,322.00 ",305250,39072,10/1/2013,10,October,2013
Government,France,Velo,Medium," $2,076.00 ", $120.00 , $350.00 ," $726,600.00 "," $43,596.00 "," $683,004.00 ",539760,143244,10/1/2013,10,October,2013
Midmarket,Canada,VTT,Medium," $2,844.00 ", $250.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 ",28440,11660.4,6/1/2014,6,June,2014
Government,Mexico,VTT,Medium," $1,498.00 ", $250.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 ",7490,2366.84,6/1/2014,6,June,2014
Small Business,France,VTT,Medium," $1,221.00 ", $250.00 , $300.00 ," $366,300.00 "," $21,978.00 "," $344,322.00 ",305250,39072,10/1/2013,10,October,2013
Government,Mexico,VTT,Medium," $1,123.00 ", $250.00 , $20.00 ," $22,460.00 "," $1,347.60 "," $21,112.40 ",11230,9882.4,11/1/2013,11,November,2013
Small Business,Canada,VTT,Medium," $2,436.00 ", $250.00 , $300.00 ," $730,800.00 "," $43,848.00 "," $686,952.00 ",609000,77952,12/1/2013,12,December,2013
Enterprise,France,Amarilla,Medium," $1,987.50 ", $260.00 , $125.00 ," $248,437.50 "," $14,906.25 "," $233,531.25 ",238500,-4968.75,1/1/2014,1,January,2014
Government,Mexico,Amarilla,Medium," $1,679.00 ", $260.00 , $350.00 ," $587,650.00 "," $35,259.00 "," $552,391.00 ",436540,115851,9/1/2014,9,September,2014
Government,United States of America,Amarilla,Medium, $727.00 , $260.00 , $350.00 ," $254,450.00 "," $15,267.00 "," $239,183.00 ",189020,50163,10/1/2013,10,October,2013
Government,France,Amarilla,Medium," $1,403.00 ", $260.00 , $7.00 ," $9,821.00 ", $589.26 ," $9,231.74 ",7015,2216.74,10/1/2013,10,October,2013
Government,France,Amarilla,Medium," $2,076.00 ", $260.00 , $350.00 ," $726,600.00 "," $43,596.00 "," $683,004.00 ",539760,143244,10/1/2013,10,October,2013
Government,France,Montana,Medium," $1,757.00 ", $5.00 , $20.00 ," $35,140.00 "," $2,108.40 "," $33,031.60 ",17570,15461.6,10/1/2013,10,October,2013
Midmarket,United States of America,Paseo,Medium," $2,198.00 ", $10.00 , $15.00 ," $32,970.00 "," $1,978.20 "," $30,991.80 ",21980,9011.8,8/1/2014,8,August,2014
Midmarket,Germany,Paseo,Medium," $1,743.00 ", $10.00 , $15.00 ," $26,145.00 "," $1,568.70 "," $24,576.30 ",17430,7146.3,8/1/2014,8,August,2014
Midmarket,United States of America,Paseo,Medium," $1,153.00 ", $10.00 , $15.00 ," $17,295.00 "," $1,037.70 "," $16,257.30 ",11530,4727.3,10/1/2014,10,October,2014
Government,France,Paseo,Medium," $1,757.00 ", $10.00 , $20.00 ," $35,140.00 "," $2,108.40 "," $33,031.60 ",17570,15461.6,10/1/2013,10,October,2013
Government,Germany,Velo,Medium," $1,001.00 ", $120.00 , $20.00 ," $20,020.00 "," $1,201.20 "," $18,818.80 ",10010,8808.8,8/1/2014,8,August,2014
Government,Mexico,Velo,Medium," $1,333.00 ", $120.00 , $7.00 ," $9,331.00 ", $559.86 ," $8,771.14 ",6665,2106.14,11/1/2014,11,November,2014
Midmarket,United States of America,VTT,Medium," $1,153.00 ", $250.00 , $15.00 ," $17,295.00 "," $1,037.70 "," $16,257.30 ",11530,4727.3,10/1/2014,10,October,2014
Channel Partners,Mexico,Carretera,Medium, $727.00 , $3.00 , $12.00 ," $8,724.00 ", $610.68 ," $8,113.32 ",2181,5932.32,2/1/2014,2,February,2014
Channel Partners,Canada,Carretera,Medium," $1,884.00 ", $3.00 , $12.00 ," $22,608.00 "," $1,582.56 "," $21,025.44 ",5652,15373.44,8/1/2014,8,August,2014
Government,Mexico,Carretera,Medium," $1,834.00 ", $3.00 , $20.00 ," $36,680.00 "," $2,567.60 "," $34,112.40 ",18340,15772.4,9/1/2013,9,September,2013
Channel Partners,Mexico,Montana,Medium," $2,340.00 ", $5.00 , $12.00 ," $28,080.00 "," $1,965.60 "," $26,114.40 ",7020,19094.4,1/1/2014,1,January,2014
Channel Partners,France,Montana,Medium," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $1,967.28 "," $26,136.72 ",7026,19110.72,11/1/2014,11,November,2014
Government,France,Paseo,Medium," $1,031.00 ", $10.00 , $7.00 ," $7,217.00 ", $505.19 ," $6,711.81 ",5155,1556.81,9/1/2013,9,September,2013
Midmarket,Canada,Velo,Medium," $1,262.00 ", $120.00 , $15.00 ," $18,930.00 "," $1,325.10 "," $17,604.90 ",12620,4984.9,5/1/2014,5,May,2014
Government,Canada,Velo,Medium," $1,135.00 ", $120.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 ",5675,1713.85,6/1/2014,6,June,2014
Government,United States of America,Velo,Medium, $547.00 , $120.00 , $7.00 ," $3,829.00 ", $268.03 ," $3,560.97 ",2735,825.97,11/1/2014,11,November,2014
Government,Canada,Velo,Medium," $1,582.00 ", $120.00 , $7.00 ," $11,074.00 ", $775.18 ," $10,298.82 ",7910,2388.82,12/1/2014,12,December,2014
